country,company,city,website,official_source,email,phone,specialization,international_focus,mira_priority,evidence_note,checked_at
Беларусь,Мольнар,Минск/Беларусь,https://molnar.by/,https://molnar.by/,Unknown,Unknown,объекты недвижимости Минска и областей,зарубежная недвижимость не подтверждена,C,Официальный сайт позиционирует агентство и базу объектов,2026-09-15
Беларусь,Агентство недвижимости Мариэлт,Минск,https://marielt.by/,https://marielt.by/,Unknown,Unknown,риэлтерские услуги; лицензированное агентство,зарубежная недвижимость не подтверждена,C,"Официальный сайт содержит юр. название, УНП и лицензию",2026-09-15
Беларусь,АН Фаттория,Минск,https://fattoria.by/,https://fattoria.by/,Unknown,Unknown,"продажа, покупка, аренда и обмен",зарубежная недвижимость не подтверждена,C,Официальный сайт с актуальным описанием услуг,2026-09-15
Беларусь,AS Недвижимость,Минск,https://www.asrealt.by/,https://www.asrealt.by/,Unknown,Unknown,агентство недвижимости; сопровождение сделок,зарубежная недвижимость не подтверждена,C,Официальный сайт указывает 15+ лет опыта и 2000+ клиентов; цифры не проверены внешне,2026-09-15
Беларусь,Алькор Эстейт,Минск,https://alkor-realty.by/,https://alkor-realty.by/,Unknown,Unknown,продажа/покупка квартир и домов; агентство,зарубежная недвижимость не подтверждена,C,Официальный сайт содержит юр. лицо и лицензию,2026-09-15
Казахстан,WT Group,Алматы/Астана,https://wtgroup.international/,https://wtgroup.international/about,Unknown,Unknown,"международная недвижимость; офисы в Алматы, Астане, Дубае и Абу-Даби",Да; страны и условия агентской программы требуют отдельного контакта,A,Официальная страница компании прямо заявляет international property и представительство мировых застройщиков,2026-09-15
Казахстан,Grand Estate Company,Алматы,https://gec.kz/,https://gec.kz/o-nas/,Unknown,Unknown,покупка/продажа и услуги на рынке недвижимости,зарубежная недвижимость не подтверждена,B,Официальная страница «О нас» описывает действующую компанию и сервис,2026-09-15
Казахстан,Ria Light,Алматы,https://rialight.kz/,https://rialight.kz/about/,info@rialight.kz,+7 (707) 044-09-49,агентство недвижимости; эксперт по зарубежной недвижимости,Да; зарубежная недвижимость заявлена,A,Официальная страница заявляет работу с зарубежной недвижимостью и членство в ассоциации риэлторов,2026-09-15
Казахстан,Hayat Estate Kazakhstan,Алматы,https://hayatestate.com/my-v-almaty,https://hayatestate.com/my-v-almaty,Unknown,+7 747 362-87-37,"зарубежная недвижимость: Турция, Испания, Португалия",Да; список стран опубликован на официальной странице,A,Официальная страница открытия офиса в Алматы и контакты команды,2026-09-15
Казахстан,Этажи (Алматы),Алматы,https://almaty.etagi.com/,https://almaty.etagi.com/,Unknown,Unknown,"купля/продажа, аренда, ипотека; жилые и коммерческие объекты",зарубежная недвижимость не подтверждена на локальном сайте,B,Официальный локальный сайт сети с каталогом и услугами,2026-09-15
Армения,Kentron,Ереван,https://www.real-estate.am/ru,https://www.real-estate.am/ru,kentron@real-estate.am,+374 55 404090,"покупка, продажа и аренда недвижимости",зарубежная недвижимость не подтверждена,B,"Официальный сайт указывает услуги, адрес, телефоны и e-mail",2026-09-15
Армения,Best House,Ереван,https://besthouse.am/,https://besthouse.am/,info@besthouse.am,+374 91 90-30-94,"продажа/аренда квартир, домов, коммерции и земли",зарубежная недвижимость не подтверждена,B,"Официальный сайт публикует каталог, адрес и контакты",2026-09-15
